,Risk
361,6.817170301629681e-08
362,6.793062606462497e-08
363,2.2501949618138195e-07
364,5.118940900777395e-07
365,2.404637499591127e-07
366,5.5267995437793847e-08
367,7.67883543406824e-08
368,5.1408365186682766e-08
369,8.754433457569621e-08
370,3.3548751847663226e-07
371,8.600713861899047e-08
372,1.1492033251786341e-07
373,1.524594549062919e-07
374,1.2703350687241295e-07
375,2.250409006385563e-07
376,1.8520925823263843e-07
377,8.641333780458968e-06
378,7.553443864969137e-07
379,1.8976670119052466e-07
380,3.714047087712159e-06
381,1.6230535213770225e-07
382,1.5047719969235175e-07
383,1.31412594235568e-06
384,1.5720068981753427e-07
385,6.022132991416933e-06
386,3.9847639113477447e-07
387,5.38992618602121e-07
388,4.3090609019343405e-07
389,1.0207215834486031e-06
390,2.301115286016232e-06
391,2.036373286965464e-06
392,5.895475261584018e-07
393,3.7574929171561874e-06
394,7.530843300909067e-07
395,5.341876956012928e-06
396,4.12512989285278e-07
397,4.849770348190488e-07
398,4.503565758933429e-07
399,2.085127407861254e-07
400,1.7603590017136113e-07
401,8.348283510768162e-07
402,2.2674687359766237e-07
403,6.915435692939186e-06
404,2.131051405781492e-07
405,1.865595788514583e-07
406,5.372550971633049e-06
407,9.170783534811831e-08
408,1.356316857582731e-07
409,4.3894807264619084e-07
410,1.447836497583017e-07
411,1.2301703595381878e-07
412,1.7962525899663387e-07
413,8.28735027676772e-08
414,9.462133696951668e-08
415,7.932313529177436e-08
416,7.675988053393346e-08
417,7.850132803884389e-08
418,7.080469792118752e-08
419,1.5794089556520308e-07
420,1.6353756382893873e-07
421,1.1659758395888885e-07
422,4.263356663671444e-08
423,4.951282116790894e-08
424,9.35277348115596e-08
425,4.2443436662523666e-08
426,1.0525410360690284e-07
427,6.031158309861699e-07
428,2.646547338601924e-07
429,7.98555100765442e-08
430,3.599270357515227e-08
431,3.212810280678865e-08
432,5.6651963896597366e-08
433,6.728161458741356e-08
434,5.862918273468267e-08
435,1.751843734936543e-07
436,6.094970744072336e-08
437,5.6542606790732016e-08
438,9.154177036588182e-08
439,7.27381984480837e-07
440,1.1924137047692658e-07
441,1.0572928482692624e-07
442,1.857430763424028e-07
443,1.0553434732161175e-07
444,1.4766397331768516e-07
445,9.552444703287092e-08
446,1.5968811716190703e-07
447,1.514112749441905e-07
448,4.4377118952729734e-08
449,1.703599488340994e-07
450,7.83341413350061e-08
451,3.624540537083561e-07
452,6.481133323590549e-08
453,8.045972508095478e-08
454,2.263970733913237e-07
455,2.2296366824130187e-07
456,8.565888968145487e-08
457,4.929545430786615e-06
458,2.4098200442490073e-07
459,1.973465235122977e-07
